representation,rep_params,metric,K,micro_Precision@K,micro_Recall@K,micro_MAP@K,micro_nDCG@K,macro_Precision@K,macro_Recall@K,macro_MAP@K,macro_nDCG@K,micro_MAP@K_CI_low,micro_MAP@K_CI_high
MorganBit,"r=2,b=4096",Tanimoto,10,0.26870113968164266,0.004983234082766218,0.21887944013120614,0.1646679104823484,0.5425031536561609,0.006624513714906799,0.44703238078390756,0.35272604476535707,0.21373933010812246,0.2248607713594998
MorganBit,"r=2,b=4096",Dice,10,0.26870113968164266,0.004983234082766218,0.21887944013120614,0.1646679104823484,0.5425031536561609,0.006624513714906799,0.44703238078390756,0.35272604476535707,0.21373933010812246,0.2248607713594998
MorganBit,"r=2,b=4096",Sokal,10,0.26870113968164266,0.004983234082766218,0.21887944013120614,0.1646679104823484,0.5425031536561609,0.006624513714906799,0.44703238078390756,0.35272604476535707,0.21373933010812246,0.2248607713594998
MorganBit,"r=2,b=4096",OnBit,10,0.26870113968164266,0.004983234082766218,0.21887944013120614,0.1646679104823484,0.5425031536561609,0.006624513714906799,0.44703238078390756,0.35272604476535707,0.21373933010812246,0.2248607713594998
MorganBit,"r=2,b=4096",RogotGoldberg,10,0.26868230196854104,0.004989796439320216,0.2188792812814429,0.16468428384604913,0.5425550449311891,0.0066379677911365875,0.44681662916677556,0.35261792401771463,0.21363817373791058,0.22481982853382787
MorganBit,"r=2,b=2048",Tanimoto,10,0.26824903456720356,0.00496102157983106,0.21819428684056166,0.16435960171487896,0.541269152580799,0.00653740858261449,0.44590287864176603,0.3520241099765593,0.21334295810278314,0.22412109961537174
MorganBit,"r=2,b=2048",Dice,10,0.26824903456720356,0.00496102157983106,0.21819428684056166,0.16435960171487896,0.541269152580799,0.00653740858261449,0.44590287864176603,0.3520241099765593,0.21334295810278314,0.22412109961537174
MorganBit,"r=2,b=2048",Sokal,10,0.26824903456720356,0.00496102157983106,0.21819428684056166,0.16435960171487896,0.541269152580799,0.00653740858261449,0.44590287864176603,0.3520241099765593,0.21334295810278314,0.22412109961537174
MorganBit,"r=2,b=2048",OnBit,10,0.26824903456720356,0.00496102157983106,0.21819428684056166,0.16435960171487896,0.541269152580799,0.00653740858261449,0.44590287864176603,0.3520241099765593,0.21334295810278314,0.22412109961537174
MorganBit,"r=2,b=2048",RogotGoldberg,10,0.26787228030517096,0.004961391547204351,0.21778283667553236,0.16403861935615285,0.5401662338839661,0.006544838501537773,0.44480570846830575,0.35165840367369555,0.21272971937040172,0.22379984570081524
MorganBit,"r=2,b=4096",BraunBlanquet,10,0.26664782895356504,0.004933316050159286,0.21754837442496386,0.1646898358352354,0.5407370432577698,0.006638776836142631,0.4459046021990953,0.3539432755160991,0.21240889839931767,0.2240265513641644
MorganBit,"r=2,b=4096",Cosine,10,0.26732598662522367,0.0049609464197999855,0.21697812806953803,0.16327629194621374,0.54088880077218,0.006566616365271743,0.4435198197353053,0.34992633307335536,0.21182615575350106,0.222893095324061
MorganBit,"r=2,b=1024",Tanimoto,10,0.26685504379768293,0.004928696080961089,0.21695008561334805,0.16376519768868092,0.5393344961331975,0.0065171935287393346,0.444561124309966,0.3517179087286185,0.21164486911527036,0.2228794699922919
MorganBit,"r=2,b=1024",Dice,10,0.26685504379768293,0.004928696080961089,0.21695008561334805,0.16376519768868092,0.5393344961331975,0.0065171935287393346,0.444561124309966,0.3517179087286185,0.21164486911527036,0.2228794699922919
MorganBit,"r=2,b=1024",Sokal,10,0.26685504379768293,0.004928696080961089,0.21695008561334805,0.16376519768868092,0.5393344961331975,0.0065171935287393346,0.444561124309966,0.3517179087286185,0.21164486911527036,0.2228794699922919
MorganBit,"r=2,b=1024",OnBit,10,0.26685504379768293,0.004928696080961089,0.21695008561334805,0.16376519768868092,0.5393344961331975,0.0065171935287393346,0.444561124309966,0.3517179087286185,0.21164486911527036,0.2228794699922919
MorganBit,"r=2,b=2048",BraunBlanquet,10,0.26570594329848357,0.004916950069037678,0.21680481924018233,0.1641102032933827,0.5382950912490178,0.006518573586325437,0.4443324177987885,0.3525422255765525,0.21136384795237048,0.22300798178011905
MorganBit,"r=2,b=1024",RogotGoldberg,10,0.26654422153150603,0.004932037534580333,0.21650817055548688,0.16332607488951353,0.5375621997397892,0.006510160563734393,0.44338105813991724,0.3505992028250655,0.21137844521553767,0.22252316465161517
MorganBit,"r=2,b=2048",Cosine,10,0.2666289912404634,0.004947873489593124,0.2163614427644992,0.16300618153758306,0.5394322674384399,0.006532267183227184,0.4429720904369734,0.35022563603194845,0.21117153013249193,0.2223474270294023
MorganBit,"r=1,b=4096",RogotGoldberg,10,0.2670528397852501,0.005032624588887387,0.21609614684047201,0.16244306028275826,0.54006641950818,0.006590965329893042,0.44069352369258197,0.34697338822128104,0.21075375651657793,0.22220429534120428
MorganBit,"r=1,b=4096",Tanimoto,10,0.2664688706790995,0.004973412536252824,0.2159136976088563,0.16218912145588524,0.5390122213753307,0.006550753445872538,0.4405791577310222,0.34611162103184,0.2104871622293387,0.22224318755659417
MorganBit,"r=1,b=4096",Dice,10,0.2664688706790995,0.004973412536252824,0.2159136976088563,0.16218912145588524,0.5390122213753307,0.006550753445872538,0.4405791577310222,0.34611162103184,0.2104871622293387,0.22224318755659417
MorganBit,"r=1,b=4096",Sokal,10,0.2664688706790995,0.004973412536252824,0.2159136976088563,0.16218912145588524,0.5390122213753307,0.006550753445872538,0.4405791577310222,0.34611162103184,0.2104871622293387,0.22224318755659417
MorganBit,"r=1,b=4096",OnBit,10,0.2664688706790995,0.004973412536252824,0.2159136976088563,0.16218912145588524,0.5390122213753307,0.006550753445872538,0.4405791577310222,0.34611162103184,0.2104871622293387,0.22224318755659417
MorganBit,"r=3,b=4096",BraunBlanquet,10,0.2644532353772252,0.004842933887363124,0.21553375949921583,0.16351651252049915,0.53691440361778,0.006516812446324653,0.4443753721411999,0.3524047494631992,0.20989221847336778,0.22198892644284174
MorganBit,"r=3,b=4096",Tanimoto,10,0.2652820947536969,0.00488745665160335,0.21545766610203362,0.16259962405656378,0.5372540333193363,0.0065448961350246995,0.4426972348273698,0.3498523571524199,0.21033034385865632,0.2212607608411537
MorganBit,"r=3,b=4096",Dice,10,0.2652820947536969,0.00488745665160335,0.21545766610203362,0.16259962405656378,0.5372540333193363,0.0065448961350246995,0.4426972348273698,0.3498523571524199,0.21033034385865632,0.2212607608411537
MorganBit,"r=3,b=4096",Sokal,10,0.2652820947536969,0.00488745665160335,0.21545766610203362,0.16259962405656378,0.5372540333193363,0.0065448961350246995,0.4426972348273698,0.3498523571524199,0.21033034385865632,0.2212607608411537
MorganBit,"r=3,b=4096",OnBit,10,0.2652820947536969,0.00488745665160335,0.21545766610203362,0.16259962405656378,0.5372540333193363,0.0065448961350246995,0.4426972348273698,0.3498523571524199,0.21033034385865632,0.2212607608411537
MorganBit,"r=2,b=1024",Cosine,10,0.2657247810115852,0.0049183750028290564,0.21545288565856993,0.16246545198072498,0.5374500294474183,0.0064865535362946345,0.4412213709692111,0.3493331501847544,0.210333427957957,0.22125366268620308
MorganBit,"r=1,b=2048",RogotGoldberg,10,0.26575303758123764,0.004937238148829557,0.21532253105107962,0.16192259365092573,0.538072333405843,0.006500822165402557,0.4391076780429587,0.3459198416667469,0.2098510259265239,0.2215294007863001
MorganBit,"r=3,b=4096",RogotGoldberg,10,0.2650842987661298,0.004864628669955323,0.21515014230447024,0.16235442909270847,0.5378473036254972,0.006508793128149894,0.4427726713386007,0.3493588482640641,0.2099808857948693,0.22117533989488755
MorganBit,"r=1,b=2048",Tanimoto,10,0.26538570217575586,0.0049216654560728795,0.21504301589294997,0.16206993067713102,0.5367184840389243,0.006448528729272165,0.43891201387202755,0.34683163210621043,0.2097825769250224,0.22140787783630925
MorganBit,"r=1,b=2048",Dice,10,0.26538570217575586,0.0049216654560728795,0.21504301589294997,0.16206993067713102,0.5367184840389243,0.006448528729272165,0.43891201387202755,0.34683163210621043,0.2097825769250224,0.22140787783630925
MorganBit,"r=1,b=2048",Sokal,10,0.26538570217575586,0.0049216654560728795,0.21504301589294997,0.16206993067713102,0.5367184840389243,0.006448528729272165,0.43891201387202755,0.34683163210621043,0.2097825769250224,0.22140787783630925
MorganBit,"r=1,b=2048",OnBit,10,0.26538570217575586,0.0049216654560728795,0.21504301589294997,0.16206993067713102,0.5367184840389243,0.006448528729272165,0.43891201387202755,0.34683163210621043,0.2097825769250224,0.22140787783630925
MorganBit,"r=2,b=1024",BraunBlanquet,10,0.2639163605538288,0.004905722117437962,0.21484933006513962,0.1631849412122902,0.5341078933475589,0.006459775971650377,0.44087381781855034,0.35103019006699276,0.2096910558519505,0.2209762637339637
MorganBit,"r=3,b=2048",Tanimoto,10,0.2645380050861826,0.00499984991868061,0.21471412586781807,0.16237436349333775,0.5359487584008805,0.006653651405945927,0.4414481616234623,0.34937431463323804,0.2095543432515388,0.22059516541368465
MorganBit,"r=3,b=2048",Dice,10,0.2645380050861826,0.00499984991868061,0.21471412586781807,0.16237436349333775,0.5359487584008805,0.006653651405945927,0.4414481616234623,0.34937431463323804,0.2095543432515388,0.22059516541368465
MorganBit,"r=3,b=2048",Sokal,10,0.2645380050861826,0.00499984991868061,0.21471412586781807,0.16237436349333775,0.5359487584008805,0.006653651405945927,0.4414481616234623,0.34937431463323804,0.2095543432515388,0.22059516541368465
MorganBit,"r=3,b=2048",OnBit,10,0.2645380050861826,0.00499984991868061,0.21471412586781807,0.16237436349333775,0.5359487584008805,0.006653651405945927,0.4414481616234623,0.34937431463323804,0.2095543432515388,0.22059516541368465
MorganBit,"r=1,b=1024",Tanimoto,10,0.2649524347744184,0.004885125383120395,0.21446706402779214,0.16174446257074887,0.5377071136368222,0.006431909157502645,0.43890270636738293,0.34639560196645797,0.20923945377733524,0.22054252253984702
MorganBit,"r=1,b=1024",Dice,10,0.2649524347744184,0.004885125383120395,0.21446706402779214,0.16174446257074887,0.5377071136368222,0.006431909157502645,0.43890270636738293,0.34639560196645797,0.20923945377733524,0.22054252253984702
MorganBit,"r=1,b=1024",Sokal,10,0.2649524347744184,0.004885125383120395,0.21446706402779214,0.16174446257074887,0.5377071136368222,0.006431909157502645,0.43890270636738293,0.34639560196645797,0.20923945377733524,0.22054252253984702
MorganBit,"r=1,b=1024",OnBit,10,0.2649524347744184,0.004885125383120395,0.21446706402779214,0.16174446257074887,0.5377071136368222,0.006431909157502645,0.43890270636738293,0.34639560196645797,0.20923945377733524,0.22054252253984702
MorganBit,"r=1,b=4096",Cosine,10,0.26517848733163796,0.004938845885485884,0.214435880261914,0.16122776681946255,0.5360481894845881,0.006491248527572522,0.4374117080052686,0.3443849589348903,0.20893552091883189,0.22101611549536457
MorganBit,"r=3,b=2048",RogotGoldberg,10,0.26402938683243854,0.004952101338653799,0.21436136788708138,0.1619601526410195,0.5348230067810594,0.006612454123155651,0.4407536015009564,0.3483045110927357,0.2091419317962656,0.2201001687918896
MorganBit,"r=1,b=1024",RogotGoldberg,10,0.26470754450409717,0.004871989810356578,0.21418561900077393,0.16143699405554607,0.5365769853531261,0.0064399542536863474,0.43764892372841996,0.34532515460089624,0.20905455480204702,0.22045989052821843
MorganBit,"r=1,b=2048",Cosine,10,0.2647452199303005,0.004937013030305844,0.2140845363555404,0.1612368561624631,0.5338430175708735,0.006435444722000922,0.43535290591600395,0.34406826019231207,0.20873131394170172,0.2203932057557935
MorganBit,"r=3,b=2048",BraunBlanquet,10,0.26283319205048505,0.004995182300255592,0.21383002601896828,0.16268824772116885,0.5334762149297841,0.006687533435262841,0.44121630080767693,0.3508467223221514,0.2083528148551813,0.22026452897556728
RDKBit,-,RogotGoldberg,10,0.2642554393896581,0.004776937704974278,0.21334440609624278,0.1584683729974871,0.5301551485508873,0.006066767212649241,0.43261104604175743,0.33908484328674393,0.20840061629970502,0.21917220169322635
MorganBit,"r=1,b=1024",Cosine,10,0.26410473768484505,0.004901176919744686,0.2132572131497205,0.16071505867899197,0.5338059735485587,0.006417753852753458,0.4344334017149275,0.3431295666159542,0.20804993381571335,0.2193309729037189
MorganBit,"r=3,b=1024",Tanimoto,10,0.2631628520297636,0.004975395290127732,0.21322964368316163,0.16138259836310323,0.5356789051696107,0.006678125975139918,0.43987240684113954,0.34794643321185786,0.20791962846722312,0.21919326577920106
MorganBit,"r=3,b=1024",Dice,10,0.2631628520297636,0.004975395290127732,0.21322964368316163,0.16138259836310323,0.5356789051696107,0.006678125975139918,0.43987240684113954,0.34794643321185786,0.20791962846722312,0.21919326577920106
MorganBit,"r=3,b=1024",Sokal,10,0.2631628520297636,0.004975395290127732,0.21322964368316163,0.16138259836310323,0.5356789051696107,0.006678125975139918,0.43987240684113954,0.34794643321185786,0.20791962846722312,0.21919326577920106
MorganBit,"r=3,b=1024",OnBit,10,0.2631628520297636,0.004975395290127732,0.21322964368316163,0.16138259836310323,0.5356789051696107,0.006678125975139918,0.43987240684113954,0.34794643321185786,0.20791962846722312,0.21919326577920106
MorganCount,r=2,Tanimoto,10,0.2627295846284261,0.004943987723430351,0.21303324183586972,0.16164476746885148,0.533550367927629,0.006475741113710154,0.4364381710362768,0.349283374996943,0.20835986242738383,0.21902027153467057
MorganCount,r=2,Dice,10,0.2627295846284261,0.004943987723430351,0.21303324183586972,0.16164476746885148,0.533550367927629,0.006475741113710154,0.4364381710362768,0.349283374996943,0.20835986242738383,0.21902027153467057
MorganBit,"r=3,b=1024",RogotGoldberg,10,0.26241876236224926,0.0049308149301762255,0.21261769210106785,0.16102476521844442,0.5336177471718117,0.006626203504162755,0.4379175115330688,0.34639348349213817,0.2075360037037535,0.21864731994908834
MorganBit,"r=1,b=4096",BraunBlanquet,10,0.26270132805877366,0.004840377917427272,0.21243826537553578,0.16008295425334484,0.5336793520268124,0.0064412765977697,0.43583061982400306,0.3432449871163327,0.20741124334886696,0.21815322592099223
MorganBit,"r=3,b=4096",Cosine,10,0.262786097767731,0.004888362368328834,0.21236277996803568,0.16067618929993066,0.5334656135032004,0.006506976210770625,0.4372376154800165,0.3459331972815515,0.20712499542138915,0.21814554357267696
MorganBit,"r=3,b=2048",Cosine,10,0.26195723839125934,0.004966778319900073,0.2117863160459939,0.16059935630252797,0.530264620114262,0.006592043368638248,0.43499806135465424,0.34527176358685735,0.2065654450746108,0.21744622655190612
MorganBit,"r=1,b=2048",BraunBlanquet,10,0.2618442121126495,0.0047783895761391365,0.21177822778981298,0.1601817093391371,0.5286240474626924,0.006321013816714297,0.4325170773218727,0.3431418065016643,0.20684083365850814,0.21785825639398332
MorganBit,"r=3,b=1024",BraunBlanquet,10,0.26052557219553546,0.004905889241752269,0.211751823221518,0.16127339963688844,0.5301682474377839,0.006621193770502075,0.4374761288495156,0.3481208183982747,0.2065017887417753,0.21828978495105936
MorganCount,r=3,Tanimoto,10,0.2612225675802957,0.00489756616044469,0.2117315259594152,0.1608519213772981,0.5278426843054027,0.006444975875044596,0.43207473300218485,0.3470001184373858,0.20703691528336554,0.217544364589734
MorganCount,r=3,Dice,10,0.2612225675802957,0.00489756616044469,0.2117315259594152,0.1608519213772981,0.5278426843054027,0.006444975875044596,0.43207473300218485,0.3470001184373858,0.20703691528336554,0.217544364589734
MorganBit,"r=3,b=1024",Cosine,10,0.2612979184327023,0.004917542572194203,0.2110191213466957,0.15976588369821404,0.5321650172518205,0.006597218815912772,0.43489887929586313,0.34447539084838275,0.2059110248970707,0.21694431197175115
MorganBit,"r=1,b=1024",BraunBlanquet,10,0.2605820853348404,0.004818235915776858,0.21077274336157498,0.15935711288907461,0.5275670911014264,0.006303541288147315,0.43072497865649173,0.3411378969171856,0.2056532518742403,0.21643100869786552
FeatMorganBit,"r=3,b=4096",Tanimoto,10,0.26036545163417163,0.004867685827628877,0.210088549977357,0.15750154944357347,0.5230744757403151,0.006213371936769751,0.4258491607152211,0.3348608936855164,0.20456869468691058,0.21596539047879257
FeatMorganBit,"r=3,b=4096",Dice,10,0.26036545163417163,0.004867685827628877,0.210088549977357,0.15750154944357347,0.5230744757403151,0.006213371936769751,0.4258491607152211,0.3348608936855164,0.20456869468691058,0.21596539047879257
FeatMorganBit,"r=3,b=4096",Sokal,10,0.26036545163417163,0.004867685827628877,0.210088549977357,0.15750154944357347,0.5230744757403151,0.006213371936769751,0.4258491607152211,0.3348608936855164,0.20456869468691058,0.21596539047879257
FeatMorganBit,"r=3,b=4096",OnBit,10,0.26036545163417163,0.004867685827628877,0.210088549977357,0.15750154944357347,0.5230744757403151,0.006213371936769751,0.4258491607152211,0.3348608936855164,0.20456869468691058,0.21596539047879257
FeatMorganBit,"r=3,b=4096",BraunBlanquet,10,0.2594518225487426,0.004884297934384471,0.20997595014584275,0.1582682244792277,0.5227029242623972,0.006334844502847357,0.4273100816504478,0.33691658495852117,0.20428438405910854,0.21594915695627406
FeatMorganBit,"r=2,b=4096",Tanimoto,10,0.26103419044927945,0.004937759811122913,0.20995759298664682,0.15654470826481692,0.5247868815387833,0.006327549281442412,0.4253205695868571,0.3322916072929569,0.20471947337378957,0.21589107266599772
FeatMorganBit,"r=2,b=4096",Dice,10,0.26103419044927945,0.004937759811122913,0.20995759298664682,0.15654470826481692,0.5247868815387833,0.006327549281442412,0.4253205695868571,0.3322916072929569,0.20471947337378957,0.21589107266599772
FeatMorganBit,"r=2,b=4096",Sokal,10,0.26103419044927945,0.004937759811122913,0.20995759298664682,0.15654470826481692,0.5247868815387833,0.006327549281442412,0.4253205695868571,0.3322916072929569,0.20471947337378957,0.21589107266599772
FeatMorganBit,"r=2,b=4096",OnBit,10,0.26103419044927945,0.004937759811122913,0.20995759298664682,0.15654470826481692,0.5247868815387833,0.006327549281442412,0.4253205695868571,0.3322916072929569,0.20471947337378957,0.21589107266599772
FeatMorganBit,"r=2,b=2048",Tanimoto,10,0.26042196477347657,0.0049423512777489464,0.20992917196076888,0.15633400851622756,0.5243656983229361,0.006390416771068979,0.42547760037140975,0.33157514780298114,0.20490422695482383,0.2159216699536554
